Extraction Date:,7/30/2025,,,-8 Data suppressed due to small cell size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated:,,,,-9 Data flagged due to questionable data quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revised:,,,,"Source: U.S. Department of Education, Office of Special Education Programs, EDPass: “IDEA Part B Child Count and Educational Environments Collection,” 2024-25 Data extracted as of July 30, 2025 from file specifications 002 and 089.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
School Year,State FIPS Code,State Name,LEA Name,State LEA ID,NCES LEA ID,Combined Early Childhood and School Age Total,Early Childhood All Disabilities,Early Childhood Autism,Early Childhood Deaf-blindness,Early Childhood Developmental delay,Early Childhood Emotional disturbance,Early Childhood Hearing impairment,Early Childhood Intellectual disability,Early Childhood Multiple disabilities,Early Childhood Orthopedic impairment,Early Childhood Other health impairment,Early Childhood Specific learning disability,Early Childhood Speech or language impairment,Early Childhood Traumatic brain injury,Early Childhood Visual impairment,School Age All Disabilities,School Age Autism,School Age Deaf-blindness,School Age Developmental delay,School Age Emotional disturbance,School Age Hearing impairment,School Age Intellectual disability,School Age Multiple disabilities,School Age Orthopedic impairment,School Age Other health impairment,School Age Specific learning disability,School Age Speech or language impairment,School Age Traumatic brain injury,School Age Visual impairment
2024-2025,01,Alabama,Al Inst Deaf And Blind,600,0100009,326,16,0,0,0,0,12,0,0,0,0,0,-8,0,-8,310,0,-8,-8,0,138,7,46,0,6,0,0,0,109
2024-2025,01,Alabama,Alabama Aerospace and Aviation,812,0100213,18,,,,,,,,,,,,,,,18,-8,0,0,0,0,-8,0,0,5,9,0,0,0
2024-2025,01,Alabama,Alabama Youth Services,210,0100002,33,,,,,,,,,,,,,,,33,-8,0,0,4,0,-8,0,0,12,14,0,0,0
2024-2025,01,Alabama,Alabaster City,103,0100190,778,29,9,0,13,0,0,0,0,-8,-8,0,4,0,0,749,131,0,33,61,8,52,15,-8,127,230,83,-8,5
2024-2025,01,Alabama,Albertville City,101,0100005,532,28,-8,0,8,0,0,0,0,0,-8,0,14,0,0,504,56,0,26,4,4,29,7,9,31,142,193,-8,-8
2024-2025,01,Alabama,Alexander City,102,0100030,329,8,4,0,-8,0,0,0,0,0,-8,0,0,0,0,321,36,0,20,-8,3,28,-8,3,42,128,57,-8,0
2024-2025,01,Alabama,Andalusia City,104,0100060,344,29,7,0,-8,0,0,0,0,0,-8,0,18,0,0,315,48,0,22,4,-8,12,5,0,19,130,72,-8,0
2024-2025,01,Alabama,Anniston City,105,0100090,225,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8
2024-2025,01,Alabama,Arab City,106,0100100,313,15,-8,0,-8,0,0,0,0,0,0,0,10,0,0,298,30,0,18,0,-8,7,5,-8,25,99,110,0,0
2024-2025,01,Alabama,Athens City,107,0100120,712,35,16,0,-8,0,0,0,0,0,-8,0,9,0,-8,677,102,0,14,7,4,26,-8,-8,85,304,124,3,3
2024-2025,01,Alabama,Attalla City,109,0100180,209,19,-8,0,-8,0,0,0,0,0,0,0,12,0,0,190,18,0,6,-8,-8,14,0,-8,17,86,45,0,0
2024-2025,01,Alabama,Auburn City,110,0100210,1155,53,-8,0,25,0,-8,0,0,-8,0,0,18,0,0,1102,168,-8,68,4,9,60,11,-8,156,393,226,0,4
2024-2025,01,Alabama,Autauga County,001,0100240,1289,43,8,0,-8,0,-8,0,0,0,9,0,19,0,0,1246,168,0,32,7,13,51,7,4,190,570,194,5,5
