Extraction Date:,3/5/2025,,,-8 Data suppressed due to small cell size,,,,,,,,,,,
Updated:,,,,-9 Data suppressed due to data quality concerns ,,,,,,,,,,,
Revised:,,,,,,,,,,,,,,,
"Source: U.S. Department of Education, Office of Special Education Programs. EDFacts Data Warehouse (EDW): “IDEA Part B Exiting LEA Collection,” 2023-24. Data extracted as of March 5, 2025 from file specification 009",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
School Year,State FIPS Code,State Name,LEA Name,State LEA ID,NCES LEA ID,All Disabilities Died,All Disabilities Dropped Out,All Disabilities Graduated With an Alternate Diploma,All Disabilities Graduated With Regular High School Diploma,"All Disabilities Moved, Known to be Continuing",All Disabilities Reached Maximum Age,All Disabilities Received a Certificate,All Disabilities Transferred to Regular Education,All Disabilities Total Exiting School,All Disabilities Total Exiting Special Education
2023-2024,01,ALABAMA,Alabama Youth Services,210,0100002,0,-8,0,-8,-8,0,0,-8,4,55
2023-2024,01,ALABAMA,Albertville City,101,0100005,0,0,0,-8,12,-8,0,8,13,33
2023-2024,01,ALABAMA,Marshall County,048,0100006,-8,0,0,-8,-8,0,0,-8,20,67
2023-2024,01,ALABAMA,Hoover City,158,0100007,0,0,0,0,36,0,6,8,6,50
2023-2024,01,ALABAMA,Madison City,169,0100008,0,0,0,43,-8,0,8,-8,51,59
2023-2024,01,ALABAMA,Al Inst Deaf And Blind,600,0100009,0,0,0,22,6,0,10,0,32,38
2023-2024,01,ALABAMA,Leeds City,167,0100011,0,0,0,12,-8,0,4,-8,16,23
2023-2024,01,ALABAMA,Boaz City,115,0100012,0,0,0,-8,6,0,-8,0,17,23
2023-2024,01,ALABAMA,Trussville City,205,0100013,0,0,0,23,-8,0,4,-8,27,34
2023-2024,01,ALABAMA,Alexander City,102,0100030,0,0,0,-8,15,0,-8,0,13,28
2023-2024,01,ALABAMA,Andalusia City,104,0100060,0,0,0,7,11,0,3,4,10,25
2023-2024,01,ALABAMA,Anniston City,105,0100090,0,0,0,7,-8,0,6,-8,13,17
2023-2024,01,ALABAMA,Arab City,106,0100100,0,-8,0,7,6,0,-8,0,10,16
2023-2024,01,ALABAMA,Athens City,107,0100120,-8,-8,0,35,29,-8,3,6,43,78
2023-2024,01,ALABAMA,Attalla City,109,0100180,0,-8,0,11,29,0,-8,0,15,44
2023-2024,01,ALABAMA,Saraland City,187,0100185,-8,0,0,17,16,-8,4,5,25,46
2023-2024,01,ALABAMA,Chickasaw City,121,0100188,0,0,0,-8,-8,0,-8,-8,20,47
2023-2024,01,ALABAMA,Satsuma City,196,0100189,0,-8,0,-8,-8,0,-8,-8,21,28
2023-2024,01,ALABAMA,Alabaster City,103,0100190,0,0,0,41,13,-8,-8,5,47,65
2023-2024,01,ALABAMA,Pelham City,177,0100194,0,0,0,16,-8,-8,-8,-8,20,25
2023-2024,01,ALABAMA,Pike Road City,186,0100195,0,0,0,-8,-8,-8,0,-8,5,7
2023-2024,01,ALABAMA,MAEF Public Charter Schools,800,0100197,0,0,0,-8,-8,0,-8,-8,13,15
2023-2024,01,ALABAMA,University Charter School,801,0100199,0,0,0,-8,0,0,-8,0,5,5
2023-2024,01,ALABAMA,Gulf Shores City,152,0100202,0,0,0,0,15,0,0,4,0,19
2023-2024,01,ALABAMA,i3 Academy,805,0100204,0,0,0,0,-8,0,0,-8,0,-8
2023-2024,01,ALABAMA,Auburn City,110,0100210,0,-8,0,52,34,0,-8,9,67,110
2023-2024,01,ALABAMA,Magic City Acceptance Academy,810,0100211,0,0,0,-8,6,0,-8,0,8,14
2023-2024,01,ALABAMA,Alabama Aerospace and Aviation,812,0100213,0,0,0,0,-8,0,0,-8,0,-8
2023-2024,01,ALABAMA,Autauga County,001,0100240,0,4,0,39,32,0,6,8,49,89
2023-2024,01,ALABAMA,Baldwin County,002,0100270,-8,-8,0,223,38,0,42,5,276,319
2023-2024,01,ALABAMA,Barbour County,003,0100300,0,-8,0,-8,5,0,0,0,4,9
2023-2024,01,ALABAMA,Bessemer City,113,0100330,0,0,0,9,-8,0,5,-8,14,16
2023-2024,01,ALABAMA,Bibb County,004,0100360,-8,-8,0,-8,-8,0,0,-8,26,30
2023-2024,01,ALABAMA,Birmingham City,114,0100390,-8,-8,0,94,19,0,40,11,137,167
2023-2024,01,ALABAMA,Blount County,005,0100420,-8,-8,0,54,59,-8,3,4,61,124
2023-2024,01,ALABAMA,Brewton City,116,0100450,0,0,0,-8,-8,0,-8,-8,8,10
2023-2024,01,ALABAMA,Bullock County,006,0100480,0,0,0,-8,0,0,-8,0,7,7
2023-2024,01,ALABAMA,Butler County,007,0100510,0,0,0,21,-8,0,3,-8,24,25
2023-2024,01,ALABAMA,Calhoun County,008,0100540,0,3,0,79,-8,0,7,-8,89,147
2023-2024,01,ALABAMA,Chambers County,009,0100600,0,0,0,16,14,0,6,6,22,42
2023-2024,01,ALABAMA,Cherokee County,010,0100630,0,0,0,-8,-8,-8,0,-8,37,62
2023-2024,01,ALABAMA,Chilton County,011,0100660,0,-8,0,44,10,0,-8,0,49,59
2023-2024,01,ALABAMA,Choctaw County,012,0100690,0,0,0,-8,4,-8,0,0,-8,6
2023-2024,01,ALABAMA,Clarke County,013,0100720,0,0,0,5,-8,-8,-8,-8,8,15
