Extraction Date:,8/30/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revised: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2A,A2B,A2C,A3B,A4,A5,B2,B3,B4,B5,B6,B7,B8,C2A,C2A.1,C2A.2,C2A.3,C2A.4,C2B,C2C,C3A,C3B,C3C,D2,D3
Reporting Year,StateName,LEAName,New/Closed LEA/ESA,NCESID,Year used to make the LEA/ESA/SEA determinations,Total LEA/ESA allocation for Section 611 of IDEA FFY 2020 ($),Total LEA/ESA allocation for Section 611 of IDEA FFY 2021 ($),Increase in LEA/ESA allocations for Section 611 from FFY 2020 to FFY 2021 ($),Total LEA/ESA allocation for Section 619 of IDEA FFY 2021 ($),Total LEA/ESA allocations for Section 611 and 619 of IDEA for FFY 2021 ($),15% of the total LEA/ESA allocations for Section 611 and 619 of IDEA for FFY 2021 ($),Determination under 34 CFR 300.600(a)(2) that controls whether the LEA may be able to reduce MOE during SY 2021-22,Reduction of local and/or state funds taken pursuant to Section 613(a)(2)(C) by the LEA/ESA during SY 2021-22 ($),Percent of the available reduction taken by LEA /ESA during SY 2021-22 (%),Did the State determine whether the LEA/ESA met the MOE compliance standard in FFY 2021/SY 2021-22? (Y/N),Did the LEA/ESA meet the MOE compliance standard in FFY 2021/SY 2021-22? (Y/N),"By the date of this data submission, did the State return non-Federal funds to the Department based on the failure of the LEA/ESA to meet the MOE compliance standard in FFY 2021/SY 2021-22? (Y/N)",What amount of non-Federal funds did the State return to the Department based on the failure of the LEA/ESA to meet the MOE compliance standard in FFY 2021/SY 2021-22? ($),Required CEIS Was the LEA/ESA required to use 15% of funds for CEIS due to significant disproportionality in SY 2021-22? (Y/N),Required CEIS Was the LEA/ESA identified as having significant disproportionality due to 'identification as a child with a disability'? (Y/N),Required CEIS Was the LEA/ESA identified as having significant disproportionality due to 'identification by disability category'? (Y/N),Required CEIS Was the LEA/ESA identified as having significant disproportionality due to 'placement in a particular educational setting'? (Y/N),Required CEIS Was the LEA/ESA identified as having significant disproportionality due to 'disciplinary action'? (Y/N),Required CEIS Amount reserved for required CEIS in the LEA /ESA in SY 2021-22 ($),Required CEIS Percent taken for required CEIS in the LEA /ESA in SY 2021-22 (%),Voluntary CEIS Did the LEA/ESA voluntarily use up to 15% of IDEA 611 and 619 fund for CEIS in SY 2021-22? (Y/N),Voluntary CEIS Amount reserved for voluntary CEIS in SY 2021-22 ($),Voluntary CEIS Percent taken for voluntary CEIS during SY 2021-22 (%),Total number of children receiving CEIS under the IDEA in the LEA/ESA during SY 2021-22,"Total number of children who received CEIS under the IDEA anytime in the past two school years (including SY 2019-20, SY 2020-21 and SY 2021-22) and received special education and related services in SY 2021-22"
2021,Alabama,Albertville City,,100005,2019-20,1158459,1482802,324343,39691,1522493,228373.95,1,0,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2021,Alabama,Marshall County,,100006,2019-20,1293674,1601696,308022,43369,1645065,246759.75,2,0,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2021,Alabama,Hoover City,,100007,2019-20,2600384,3198009,597625,80701,3278710,491806.5,1,0,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2021,Alabama,Madison City,,100008,2019-20,2083974,2670491,586517,79482,2749973,412495.95,1,0,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2021,Alabama,Leeds City,,100011,2019-20,459890,576532,116642,13686,590218,88532.7,1,0,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2021,Alabama,Boaz City,,100012,2019-20,512116,641979,129863,18957,660936,99140.4,1,0,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2021,Alabama,Trussville City,,100013,2019-20,819364,1050819,231455,33532,1084351,162652.65,1,0,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2021,Alabama,Alexander City,,100030,2019-20,745020,889959,144939,32628,922587,138388.05,2,0,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2021,Alabama,Andalusia City,,100060,2019-20,483486,568469,84983,38990,607459,91118.85,1,0,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
